A_PRGID,A_USERID,A_SYSDT,U_PRGID,U_USERID,U_SYSDT,CARD_TYPE,CARD_VERSION,COLUNM,COLUNM_NAME
NULL,NULL,NULL,滿期卡,NULL,2019-11-25 00:00:00.000,E,1,CAREA_NO1,有無戶藉電話
NULL,NULL,NULL,滿期卡,NULL,2019-11-25 00:00:00.000,E,1,CAREA_NO2,有無通訊電話
NULL,NULL,NULL,滿期卡,NULL,2019-11-25 00:00:00.000,E,1,CAR_YEAR,車齡
NULL,NULL,NULL,滿期卡,NULL,2019-11-25 00:00:00.000,E,1,EDUCAT_BACK,學歷
NULL,NULL,NULL,滿期卡,NULL,2019-11-25 00:00:00.000,E,1,LIST_MONTH,中結/滿期/撥款與分案月數差
NULL,NULL,NULL,滿期卡,NULL,2019-11-25 00:00:00.000,E,1,LOAN_RATE,貸款成數
NULL,NULL,NULL,滿期卡,NULL,2019-11-25 00:00:00.000,E,1,PROJECT_TP,專案類別
NULL,NULL,NULL,滿期卡,NULL,2019-11-25 00:00:00.000,E,1,SALES_STS,業務註記
中結5年以上卡,IT,2019-09-04 09:39:56.133,中結5年以上卡,IT,2019-09-04 09:39:56.133,S5,1,CAREA_NO1,有無戶藉電話
中結5年以上卡,IT,2019-09-04 09:39:56.133,中結5年以上卡,IT,2019-09-04 09:39:56.133,S5,1,CAREA_NO2,有無通訊電話
中結5年以上卡,IT,2019-09-04 09:39:56.133,中結5年以上卡,IT,2019-09-04 09:39:56.133,S5,1,CAR_YEAR,車齡
中結5年以上卡,IT,2019-09-04 09:39:56.133,中結5年以上卡,IT,2019-09-04 09:39:56.133,S5,1,CO_NUM_NM,車主公司郵遞區號
中結5年以上卡,IT,2019-09-04 09:39:56.133,中結5年以上卡,IT,2019-09-04 09:39:56.133,S5,1,LOAN_RATE,貸款成數
中結5年以上卡,IT,2019-09-04 09:39:56.133,中結5年以上卡,IT,2019-09-04 09:39:56.133,S5,1,AGE,年齡
中結5年以上卡,IT,2019-09-04 09:39:56.133,中結5年以上卡,IT,2019-09-04 09:39:56.133,S5,1,EDUCAT_BACK,學歷
中結5年以上卡,IT,2019-09-04 09:39:56.133,中結5年以上卡,IT,2019-09-04 09:39:56.133,S5,1,HPOST_NUM_NM,車主戶籍地郵遞區號
滿期5年以上卡,NULL,NULL,滿期5年以上卡,NULL,2019-11-25 00:00:00.000,E5,1,AGE,年齡
滿期5年以上卡,NULL,NULL,滿期5年以上卡,NULL,2019-11-25 00:00:00.000,E5,1,CELLULAR,手機號碼
滿期5年以上卡,NULL,NULL,滿期5年以上卡,NULL,2019-11-25 00:00:00.000,E5,1,CAREA_NO2,有無通訊電話
滿期5年以上卡,NULL,NULL,滿期5年以上卡,NULL,2019-11-25 00:00:00.000,E5,1,CO_NUM_NM,車主公司郵遞區號
滿期5年以上卡,NULL,NULL,滿期5年以上卡,NULL,2019-11-25 00:00:00.000,E5,1,EDUCAT_BACK,學歷
滿期5年以上卡,NULL,NULL,滿期5年以上卡,NULL,2019-11-25 00:00:00.000,E5,1,LIST_MONTH,中結/滿期/撥款與分案月數差
滿期5年以上卡,NULL,NULL,滿期5年以上卡,NULL,2019-11-25 00:00:00.000,E5,1,LOAN_RATE,貸款成數
滿期5年以上卡,NULL,NULL,滿期5年以上卡,NULL,2019-11-25 00:00:00.000,E5,1,PROJECT_TP,專案類別
機車滿期卡,IT,2019-09-04 09:39:56.133,機車滿期卡,IT,2019-09-04 09:39:56.133,M,1,CAREA_NO1,有無戶藉電話
機車滿期卡,IT,2019-09-04 09:39:56.133,機車滿期卡,IT,2019-09-04 09:39:56.133,M,1,CAREA_NO2,有無通訊電話
機車滿期卡,IT,2019-09-04 09:39:56.133,機車滿期卡,IT,2019-09-04 09:39:56.133,M,1,CO_NUM_NM,車主公司郵遞區號
機車滿期卡,IT,2019-09-04 09:39:56.133,機車滿期卡,IT,2019-09-04 09:39:56.133,M,1,AGE,年齡
機車滿期卡,IT,2019-09-04 09:39:56.133,機車滿期卡,IT,2019-09-04 09:39:56.133,M,1,HPOST_NUM_NM,車主戶籍地郵遞區號
機車滿期卡,IT,2019-09-04 09:39:56.133,機車滿期卡,IT,2019-09-04 09:39:56.133,M,1,CPOST_NUM_NM,車主通訊地郵遞區號
